season,year,round,race_name,driver,driverId,constructor,grid_position,finishing_position,points,num_pit_stops,avg_lap_time,avg_tyre_life,track_temp_mid,air_temp_mid,humidity_mid,rainfall_mid,qualiPosition,Q1_time,Q2_time,Q3_time,laps_total,laps_count,lapTime_mean_sec,lapTime_best_sec,lapTime_std_sec,pit_stop_count,pit_total_duration_sec,pit_avg_duration_sec,pit_min_duration_sec,pit_first_lap,pit_last_lap,weather_hours,weather_airTemp_mean,weather_airTemp_min,weather_airTemp_max,weather_humidity_mean,weather_precip_total,weather_pressure_mean,weather_wind_mean,Driver.code,session_type,made_Q2,made_Q3,eliminated_in_Q1,eliminated_in_Q2,eliminated_in_Q3,qualifying_round_reached,pitted,multi_stop,one_stop
2024,2024,2,Saudi Arabian Grand Prix,BOT,bottas,Kick Sauber,16,17,0,2,96.519177,16.33333333,31.5,25.7,61,False,16.0,1:29.179,,,5.0,5.0,98.5916,96.244,3.610808538,2.0,46.076,23.038,22.795,7.0,35.0,24.0,23.60416667,18.3,29.2,60.45833333,0.0,1013.479167,17.49583333,BOT,race,False,False,True,False,False,1,True,True,False
2024,2024,2,Saudi Arabian Grand Prix,ZHO,zhou,Kick Sauber,20,18,0,1,97.229478,24.5,31.5,25.7,61,False,20.0,,,,5.0,5.0,98.8712,96.238,3.985309235,1.0,46.381,46.381,46.381,41.0,41.0,24.0,23.60416667,18.3,29.2,60.45833333,0.0,1013.479167,17.49583333,ZHO,race,False,False,False,False,False,1,True,False,True
2024,2024,2,Saudi Arabian Grand Prix,STR,stroll,Aston Martin,10,19,0,0,97.1216,6.0,31.5,25.7,61,False,10.0,1:28.250,1:28.578,1:28.572,5.0,5.0,97.1216,95.56,2.973166208,0.0,,,,,,24.0,23.60416667,18.3,29.2,60.45833333,0.0,1013.479167,17.49583333,STR,race,True,True,False,False,True,3,False,False,False
2024,2024,2,Saudi Arabian Grand Prix,GAS,gasly,Alpine,18,20,0,1,90.425464,1.0,31.5,25.7,61,False,18.0,1:29.479,,,1.0,1.0,121.453,121.453,5.0176350965,0.0,,,,,,24.0,23.60416667,18.3,29.2,60.45833333,0.0,1013.479167,17.49583333,GAS,race,False,False,True,False,False,1,True,False,False
2024,2024,3,Australian Grand Prix,SAI,sainz,Ferrari,2,1,25,2,82.297092,29.0,39.0,20.8,43,False,2.0,1:16.731,1:16.189,1:16.185,6.0,6.0,83.6025,82.433,2.345844731,2.0,35.339,17.6695,17.599,16.0,41.0,24.0,16.31666667,12.1,21.5,66.66666667,0.0,1021.1875,14.15833333,SAI,race,True,True,False,False,True,3,True,True,False
2024,2024,3,Australian Grand Prix,LEC,leclerc,Ferrari,4,2,19,2,82.6185,29.0,39.0,20.8,43,False,5.0,1:16.984,1:16.304,1:16.435,6.0,6.0,84.02233333,82.519,3.187585084,2.0,34.717,17.3585,17.308,9.0,34.0,24.0,16.31666667,12.1,21.5,66.66666667,0.0,1021.1875,14.15833333,LEC,race,True,True,False,False,True,3,True,True,False
2024,2024,3,Australian Grand Prix,NOR,norris,McLaren,3,3,15,2,82.663777,29.0,39.0,20.8,43,False,4.0,1:17.430,1:16.750,1:16.315,6.0,6.0,83.92483333,82.609,2.878545148,2.0,35.429,17.7145,17.653,14.0,40.0,24.0,16.31666667,12.1,21.5,66.66666667,0.0,1021.1875,14.15833333,NOR,race,True,True,False,False,True,3,True,True,False
2024,2024,3,Australian Grand Prix,PIA,piastri,McLaren,5,4,12,2,83.23337,29.0,39.0,20.8,43,False,6.0,1:17.369,1:16.601,1:16.572,6.0,6.0,84.11566667,82.581,3.399633196,2.0,36.106,18.053,17.573,9.0,39.0,24.0,16.31666667,12.1,21.5,66.66666667,0.0,1021.1875,14.15833333,PIA,race,True,True,False,False,True,3,True,True,False
2024,2024,3,Australian Grand Prix,PER,perez,Red Bull Racing,6,5,10,2,83.508111,29.0,39.0,20.8,43,False,3.0,1:16.805,1:16.631,1:16.274,6.0,6.0,84.79333333,83.024,3.74312114,2.0,35.334,17.667,17.222,14.0,35.0,24.0,16.31666667,12.1,21.5,66.66666667,0.0,1021.1875,14.15833333,PER,race,True,True,False,False,True,3,True,True,False
2024,2024,3,Australian Grand Prix,STR,stroll,Aston Martin,9,6,8,2,84.24787,29.0,39.0,20.8,43,False,9.0,1:17.376,1:16.780,1:17.072,6.0,6.0,84.9,83.027,3.891777383,2.0,35.878,17.939,17.901,8.0,37.0,24.0,16.31666667,12.1,21.5,66.66666667,0.0,1021.1875,14.15833333,STR,race,True,True,False,False,True,3,True,True,False
