season,year,round,race_name,driver,driverId,constructor,grid_position,finishing_position,points,num_pit_stops,avg_lap_time,avg_tyre_life,track_temp_mid,air_temp_mid,humidity_mid,rainfall_mid,qualiPosition,Q1_time,Q2_time,Q3_time,laps_total,laps_count,lapTime_mean_sec,lapTime_best_sec,lapTime_std_sec,pit_stop_count,pit_total_duration_sec,pit_avg_duration_sec,pit_min_duration_sec,pit_first_lap,pit_last_lap,weather_hours,weather_airTemp_mean,weather_airTemp_min,weather_airTemp_max,weather_humidity_mean,weather_precip_total,weather_pressure_mean,weather_wind_mean,Driver.code
2025,2025,3,Japanese Grand Prix,LEC,leclerc,Ferrari,4.0,4.0,12.0,1,92.824431,26.5,20.7,14.3,77.0,False,4.0,1:27.920,1:27.555,1:27.299,5.0,5.0,94.6906,93.878,1.502271713106526,1.0,23.346,23.346,23.346,21.0,21.0,24.0,11.633333333333333,8.3,15.7,78.79166666666667,7.4,1014.5166666666668,10.15,LEC
2025,2025,3,Japanese Grand Prix,RUS,russell,Mercedes,5.0,5.0,10.0,1,92.856411,26.5,20.7,14.3,77.0,False,5.0,1:27.843,1:27.400,1:27.318,5.0,5.0,94.8464,93.795,1.7622167290092265,1.0,23.184,23.184,23.184,19.0,19.0,24.0,11.633333333333333,8.3,15.7,78.79166666666667,7.4,1014.5166666666668,10.15,RUS
2025,2025,3,Japanese Grand Prix,ANT,antonelli,Mercedes,6.0,6.0,8.0,1,92.836686,26.5,20.7,14.3,77.0,False,6.0,1:27.968,1:27.639,1:27.555,5.0,5.0,95.1338,93.78999999999999,2.1582691444766646,1.0,24.38,24.38,24.38,31.0,31.0,24.0,11.633333333333333,8.3,15.7,78.79166666666667,7.4,1014.5166666666668,10.15,ANT
2025,2025,3,Japanese Grand Prix,HAM,hamilton,Ferrari,8.0,7.0,6.0,1,93.090529,26.5,20.7,14.3,77.0,False,8.0,1:27.942,1:27.610,1:27.610,5.0,5.0,95.55499999999999,93.82,2.696287540304262,1.0,22.937,22.937,22.937,30.0,30.0,24.0,11.633333333333333,8.3,15.7,78.79166666666667,7.4,1014.5166666666668,10.15,HAM
2025,2025,3,Japanese Grand Prix,HAD,hadjar,Racing Bulls,7.0,8.0,4.0,1,93.182607,26.5,20.7,14.3,77.0,False,7.0,1:28.278,1:27.775,1:27.569,5.0,5.0,95.4826,94.166,2.4928730011775624,1.0,23.333,23.333,23.333,25.0,25.0,24.0,11.633333333333333,8.3,15.7,78.79166666666667,7.4,1014.5166666666668,10.15,HAD
2025,2025,3,Japanese Grand Prix,ALB,albon,Williams,9.0,9.0,2.0,1,93.228764,26.5,20.7,14.3,77.0,False,9.0,1:28.218,1:27.783,1:27.615,5.0,5.0,95.8374,94.138,2.8119459987702475,1.0,23.093,23.093,23.093,24.0,24.0,24.0,11.633333333333333,8.3,15.7,78.79166666666667,7.4,1014.5166666666668,10.15,ALB
2025,2025,3,Japanese Grand Prix,BEA,bearman,Haas F1 Team,10.0,10.0,1.0,1,93.54245,26.5,20.7,14.3,77.0,False,10.0,1:28.228,1:27.711,1:27.867,5.0,5.0,95.971,94.126,3.013946167402462,1.0,24.834,24.834,24.834,23.0,23.0,24.0,11.633333333333333,8.3,15.7,78.79166666666667,7.4,1014.5166666666668,10.15,BEA
2025,2025,3,Japanese Grand Prix,ALO,alonso,Aston Martin,12.0,11.0,0.0,1,93.53398,26.5,20.7,14.3,77.0,False,13.0,1:28.337,1:27.897,,5.0,5.0,96.3408,94.59899999999999,3.222041231890123,1.0,25.708,25.708,25.708,24.0,24.0,24.0,11.633333333333333,8.3,15.7,78.79166666666667,7.4,1014.5166666666668,10.15,ALO
2025,2025,3,Japanese Grand Prix,TSU,tsunoda,Red Bull Racing,14.0,12.0,0.0,1,93.615862,26.5,20.7,14.3,77.0,False,15.0,1:27.967,1:28.000,,5.0,5.0,96.667,94.569,3.5112613830360164,1.0,24.181,24.181,24.181,23.0,23.0,24.0,11.633333333333333,8.3,15.7,78.79166666666667,7.4,1014.5166666666668,10.15,TSU
2025,2025,3,Japanese Grand Prix,GAS,gasly,Alpine,11.0,13.0,0.0,1,93.570549,26.5,20.7,14.3,77.0,False,11.0,1:28.186,1:27.822,,5.0,5.0,96.5004,94.554,3.3513690187742653,1.0,26.041,26.041,26.041,24.0,24.0,24.0,11.633333333333333,8.3,15.7,78.79166666666667,7.4,1014.5166666666668,10.15,GAS
2025,2025,3,Japanese Grand Prix,SAI,sainz,Williams,15.0,14.0,0.0,1,93.958784,26.5,20.7,14.3,77.0,False,12.0,1:28.209,1:27.836,,5.0,5.0,97.20439999999999,94.765,3.949648629941661,1.0,23.337,23.337,23.337,33.0,33.0,24.0,11.633333333333333,8.3,15.7,78.79166666666667,7.4,1014.5166666666668,10.15,SAI
2025,2025,3,Japanese Grand Prix,DOO,doohan,Alpine,19.0,15.0,0.0,1,94.04849,26.5,20.7,14.3,77.0,False,19.0,1:28.877,,,5.0,5.0,97.72639999999998,95.344,4.276680757316348,1.0,23.382,23.382,23.382,15.0,15.0,24.0,11.633333333333333,8.3,15.7,78.79166666666667,7.4,1014.5166666666668,10.15,DOO
2025,2025,3,Japanese Grand Prix,HUL,hulkenberg,Kick Sauber,16.0,16.0,0.0,1,94.073196,26.5,20.7,14.3,77.0,False,16.0,1:28.570,,,5.0,5.0,97.3868,95.26599999999999,3.7017830433454697,1.0,23.515,23.515,23.515,22.0,22.0,24.0,11.633333333333333,8.3,15.7,78.79166666666667,7.4,1014.5166666666668,10.15,HUL
2025,2025,3,Japanese Grand Prix,LAW,lawson,Racing Bulls,13.0,17.0,0.0,1,94.098549,26.5,20.7,14.3,77.0,False,14.0,1:28.554,1:27.906,,5.0,5.0,97.0578,95.098,3.615950594242127,1.0,23.662,23.662,23.662,33.0,33.0,24.0,11.633333333333333,8.3,15.7,78.79166666666667,7.4,1014.5166666666668,10.15,LAW
2025,2025,3,Japanese Grand Prix,OCO,ocon,Haas F1 Team,18.0,18.0,0.0,1,94.106901,26.5,20.7,14.3,77.0,False,18.0,1:28.696,,,5.0,5.0,97.5448,95.17,4.092172919122555,1.0,24.464,24.464,24.464,32.0,32.0,24.0,11.633333333333333,8.3,15.7,78.79166666666667,7.4,1014.5166666666668,10.15,OCO
